id;start_date;end_date;language
1;2020-04-05T01:04:00;2020-04-04T22:54:15;SPANISH
2;2020-04-04T05:54:11;2020-04-05T00:58:36;SPANISH
3;2020-04-04T20:49:30;2020-04-04T07:23:39;FRENCH
4;2020-04-04T12:07:01;2020-04-04T23:38:27;FRENCH
5;2020-04-04T21:37:19;2020-04-05T02:24:18;FRENCH
6;2020-04-04T15:29:40;2020-04-05T03:37:54;FRENCH
7;2020-04-04T17:15:00;2020-04-04T11:05:51;FRENCH
8;2020-04-04T16:11:13;2020-04-05T02:27:21;SPANISH
9;2020-04-04T14:52:22;2020-04-04T11:33:45;SPANISH
10;2020-04-04T23:04:26;2020-04-04T09:38:56;SPANISH
